doc_type,pdf_path,page1_png,source_path,cluster_id
scientific_report,data/raw_pdfs/0016_scientific_report.pdf,data/page1_pngs/0016_scientific_report.png,data/scientific_report/2058006297_2058006301.tif,-1
specification,data/raw_pdfs/0017_specification.pdf,data/page1_pngs/0017_specification.png,data/specification/505774052.tif,6
advertisement,data/raw_pdfs/0018_advertisement.pdf,data/page1_pngs/0018_advertisement.png,data/advertisement/2061002685.tif,0
resume,data/raw_pdfs/0019_resume.pdf,data/page1_pngs/0019_resume.png,data/resume/50499810-9811.tif,10
file_folder,data/raw_pdfs/0020_file_folder.pdf,data/page1_pngs/0020_file_folder.png,data/file_folder/2048405776.tif,5
scientific_report,data/raw_pdfs/0021_scientific_report.pdf,data/page1_pngs/0021_scientific_report.png,data/scientific_report/2078640305.tif,3
questionnaire,data/raw_pdfs/0022_questionnaire.pdf,data/page1_pngs/0022_questionnaire.png,data/questionnaire/01772627_01772631.tif,6
news_article,data/raw_pdfs/0023_news_article.pdf,data/page1_pngs/0023_news_article.png,data/news_article/2047635547.tif,0
presentation,data/raw_pdfs/0024_presentation.pdf,data/page1_pngs/0024_presentation.png,data/presentation/2076921695_1718.tif,2
questionnaire,data/raw_pdfs/0025_questionnaire.pdf,data/page1_pngs/0025_questionnaire.png,data/questionnaire/2040456042_2040456044.tif,6
scientific_publication,data/raw_pdfs/0026_scientific_publication.pdf,data/page1_pngs/0026_scientific_publication.png,data/scientific_publication/10169046_10169054.tif,-1
file_folder,data/raw_pdfs/0027_file_folder.pdf,data/page1_pngs/0027_file_folder.png,data/file_folder/2501018207.tif,5
file_folder,data/raw_pdfs/0028_file_folder.pdf,data/page1_pngs/0028_file_folder.png,data/file_folder/60011414.tif,5
invoice,data/raw_pdfs/0029_invoice.pdf,data/page1_pngs/0029_invoice.png,data/invoice/2085531595.tif,6
email,data/raw_pdfs/0030_email.pdf,data/page1_pngs/0030_email.png,data/email/2079024485.tif,4
questionnaire,data/raw_pdfs/0031_questionnaire.pdf,data/page1_pngs/0031_questionnaire.png,data/questionnaire/1004861895_1004861896.tif,6
questionnaire,data/raw_pdfs/0032_questionnaire.pdf,data/page1_pngs/0032_questionnaire.png,data/questionnaire/0001217426.tif,-1
handwritten,data/raw_pdfs/0033_handwritten.pdf,data/page1_pngs/0033_handwritten.png,data/handwritten/524217700+-7701.tif,1
memo,data/raw_pdfs/0034_memo.pdf,data/page1_pngs/0034_memo.png,data/memo/98708832_8833.tif,7
scientific_publication,data/raw_pdfs/0035_scientific_publication.pdf,data/page1_pngs/0035_scientific_publication.png,data/scientific_publication/50469946-9946.tif,0
budget,data/raw_pdfs/0036_budget.pdf,data/page1_pngs/0036_budget.png,data/budget/tnwl0021181.tif,6
letter,data/raw_pdfs/0037_letter.pdf,data/page1_pngs/0037_letter.png,data/letter/2075732877_2878.tif,4
questionnaire,data/raw_pdfs/0038_questionnaire.pdf,data/page1_pngs/0038_questionnaire.png,data/questionnaire/2028376926.tif,7
form,data/raw_pdfs/0039_form.pdf,data/page1_pngs/0039_form.png,data/form/2046039536.tif,6
email,data/raw_pdfs/0040_email.pdf,data/page1_pngs/0040_email.png,data/email/531447159+-7167.tif,8
form,data/raw_pdfs/0041_form.pdf,data/page1_pngs/0041_form.png,data/form/502396535+-6537.tif,1
email,data/raw_pdfs/0042_email.pdf,data/page1_pngs/0042_email.png,data/email/527925050+-5050.tif,-1
news_article,data/raw_pdfs/0043_news_article.pdf,data/page1_pngs/0043_news_article.png,data/news_article/2065376480.tif,0
questionnaire,data/raw_pdfs/0044_questionnaire.pdf,data/page1_pngs/0044_questionnaire.png,data/questionnaire/2049365038.tif,6
form,data/raw_pdfs/0045_form.pdf,data/page1_pngs/0045_form.png,data/form/2505130755.tif,6
advertisement,data/raw_pdfs/0046_advertisement.pdf,data/page1_pngs/0046_advertisement.png,data/advertisement/500638283+-8283.tif,10
letter,data/raw_pdfs/0047_letter.pdf,data/page1_pngs/0047_letter.png,data/letter/507603129.tif,8
advertisement,data/raw_pdfs/0048_advertisement.pdf,data/page1_pngs/0048_advertisement.png,data/advertisement/2084396309.tif,0
memo,data/raw_pdfs/0049_memo.pdf,data/page1_pngs/0049_memo.png,data/memo/0013502467.tif,6
file_folder,data/raw_pdfs/0050_file_folder.pdf,data/page1_pngs/0050_file_folder.png,data/file_folder/2051150962.tif,5
questionnaire,data/raw_pdfs/0051_questionnaire.pdf,data/page1_pngs/0051_questionnaire.png,data/questionnaire/505933457+-3469.tif,6
resume,data/raw_pdfs/0052_resume.pdf,data/page1_pngs/0052_resume.png,data/resume/50419586-9587.tif,6
news_article,data/raw_pdfs/0053_news_article.pdf,data/page1_pngs/0053_news_article.png,data/news_article/70104585-4586.tif,0
budget,data/raw_pdfs/0054_budget.pdf,data/page1_pngs/0054_budget.png,data/budget/2040965000.tif,6
email,data/raw_pdfs/0055_email.pdf,data/page1_pngs/0055_email.png,data/email/527971458+-1461.tif,10
file_folder,data/raw_pdfs/0056_file_folder.pdf,data/page1_pngs/0056_file_folder.png,data/file_folder/0060108471.tif,5
email,data/raw_pdfs/0057_email.pdf,data/page1_pngs/0057_email.png,data/email/527972631+-2631.tif,4
specification,data/raw_pdfs/0058_specification.pdf,data/page1_pngs/0058_specification.png,data/specification/2069730436.tif,6
budget,data/raw_pdfs/0059_budget.pdf,data/page1_pngs/0059_budget.png,data/budget/2041374002_2041374018.tif,6
email,data/raw_pdfs/0060_email.pdf,data/page1_pngs/0060_email.png,data/email/2078848603_8603a.tif,4
form,data/raw_pdfs/0061_form.pdf,data/page1_pngs/0061_form.png,data/form/521137770+-7770.tif,6
advertisement,data/raw_pdfs/0062_advertisement.pdf,data/page1_pngs/0062_advertisement.png,data/advertisement/503781900+-1900.tif,0
scientific_report,data/raw_pdfs/0063_scientific_report.pdf,data/page1_pngs/0063_scientific_report.png,data/scientific_report/2028826493.tif,6
specification,data/raw_pdfs/0064_specification.pdf,data/page1_pngs/0064_specification.png,data/specification/504806474.tif,6
presentation,data/raw_pdfs/0065_presentation.pdf,data/page1_pngs/0065_presentation.png,data/presentation/0001253651.tif,7
handwritten,data/raw_pdfs/0066_handwritten.pdf,data/page1_pngs/0066_handwritten.png,data/handwritten/517238756+-8760.tif,7
presentation,data/raw_pdfs/0067_presentation.pdf,data/page1_pngs/0067_presentation.png,data/presentation/2045555230.tif,10
scientific_publication,data/raw_pdfs/0068_scientific_publication.pdf,data/page1_pngs/0068_scientific_publication.png,data/scientific_publication/2028815908_2028815922.tif,-1
invoice,data/raw_pdfs/0069_invoice.pdf,data/page1_pngs/0069_invoice.png,data/invoice/502221726+-1749.tif,5
scientific_report,data/raw_pdfs/0070_scientific_report.pdf,data/page1_pngs/0070_scientific_report.png,data/scientific_report/2024492402-a.tif,6
invoice,data/raw_pdfs/0071_invoice.pdf,data/page1_pngs/0071_invoice.png,data/invoice/87104411.tif,6
resume,data/raw_pdfs/0072_resume.pdf,data/page1_pngs/0072_resume.png,data/resume/50578635-8636.tif,10
specification,data/raw_pdfs/0073_specification.pdf,data/page1_pngs/0073_specification.png,data/specification/2069729427.tif,6
specification,data/raw_pdfs/0074_specification.pdf,data/page1_pngs/0074_specification.png,data/specification/2051539328_2051539331.tif,6
email,data/raw_pdfs/0075_email.pdf,data/page1_pngs/0075_email.png,data/email/2067686553.tif,4
letter,data/raw_pdfs/0076_letter.pdf,data/page1_pngs/0076_letter.png,data/letter/2022250050.tif,7
form,data/raw_pdfs/0077_form.pdf,data/page1_pngs/0077_form.png,data/form/96377421.tif,3
questionnaire,data/raw_pdfs/0078_questionnaire.pdf,data/page1_pngs/0078_questionnaire.png,data/questionnaire/525611193+-1200.tif,0
resume,data/raw_pdfs/0079_resume.pdf,data/page1_pngs/0079_resume.png,data/resume/40047011-7011.tif,10
advertisement,data/raw_pdfs/0080_advertisement.pdf,data/page1_pngs/0080_advertisement.png,data/advertisement/0030049072.tif,0
news_article,data/raw_pdfs/0081_news_article.pdf,data/page1_pngs/0081_news_article.png,data/news_article/2025499881.tif,0
news_article,data/raw_pdfs/0082_news_article.pdf,data/page1_pngs/0082_news_article.png,data/news_article/tob11311.06_tob11311.07.tif,0
letter,data/raw_pdfs/0083_letter.pdf,data/page1_pngs/0083_letter.png,data/letter/00621705.tif,7
scientific_publication,data/raw_pdfs/0084_scientific_publication.pdf,data/page1_pngs/0084_scientific_publication.png,data/scientific_publication/10353268_10353281.tif,7
news_article,data/raw_pdfs/0085_news_article.pdf,data/page1_pngs/0085_news_article.png,data/news_article/2501015685_2501015689.tif,9
specification,data/raw_pdfs/0086_specification.pdf,data/page1_pngs/0086_specification.png,data/specification/0000957014.tif,6
scientific_report,data/raw_pdfs/0087_scientific_report.pdf,data/page1_pngs/0087_scientific_report.png,data/scientific_report/1003157443.tif,8
memo,data/raw_pdfs/0088_memo.pdf,data/page1_pngs/0088_memo.png,data/memo/12898205.tif,7
scientific_publication,data/raw_pdfs/0089_scientific_publication.pdf,data/page1_pngs/0089_scientific_publication.png,data/scientific_publication/00381007_00381012.tif,6
form,data/raw_pdfs/0090_form.pdf,data/page1_pngs/0090_form.png,data/form/2083813274.tif,6
presentation,data/raw_pdfs/0091_presentation.pdf,data/page1_pngs/0091_presentation.png,data/presentation/2058232764_2791.tif,-1
file_folder,data/raw_pdfs/0092_file_folder.pdf,data/page1_pngs/0092_file_folder.png,data/file_folder/2049260549.tif,7
resume,data/raw_pdfs/0093_resume.pdf,data/page1_pngs/0093_resume.png,data/resume/50447085-7086.tif,6
handwritten,data/raw_pdfs/0094_handwritten.pdf,data/page1_pngs/0094_handwritten.png,data/handwritten/505863298.tif,1
scientific_report,data/raw_pdfs/0095_scientific_report.pdf,data/page1_pngs/0095_scientific_report.png,data/scientific_report/2050878905_8908.tif,6
presentation,data/raw_pdfs/0096_presentation.pdf,data/page1_pngs/0096_presentation.png,data/presentation/2045555228.tif,10
news_article,data/raw_pdfs/0097_news_article.pdf,data/page1_pngs/0097_news_article.png,data/news_article/corti0015332.tif,0
advertisement,data/raw_pdfs/0098_advertisement.pdf,data/page1_pngs/0098_advertisement.png,data/advertisement/2040260424.tif,0
scientific_publication,data/raw_pdfs/0099_scientific_publication.pdf,data/page1_pngs/0099_scientific_publication.png,data/scientific_publication/50471479-1482.tif,0
news_article,data/raw_pdfs/0100_news_article.pdf,data/page1_pngs/0100_news_article.png,data/news_article/2046663440-b.tif,0
resume,data/raw_pdfs/0101_resume.pdf,data/page1_pngs/0101_resume.png,data/resume/50377352-7352.tif,-1
news_article,data/raw_pdfs/0102_news_article.pdf,data/page1_pngs/0102_news_article.png,data/news_article/1005150604.tif,0
scientific_publication,data/raw_pdfs/0103_scientific_publication.pdf,data/page1_pngs/0103_scientific_publication.png,data/scientific_publication/1003172878_1003172884.tif,-1
presentation,data/raw_pdfs/0104_presentation.pdf,data/page1_pngs/0104_presentation.png,data/presentation/2500121965.tif,9
presentation,data/raw_pdfs/0105_presentation.pdf,data/page1_pngs/0105_presentation.png,data/presentation/2500119675.tif,10
news_article,data/raw_pdfs/0106_news_article.pdf,data/page1_pngs/0106_news_article.png,data/news_article/2025028959.tif,0
scientific_publication,data/raw_pdfs/0107_scientific_publication.pdf,data/page1_pngs/0107_scientific_publication.png,data/scientific_publication/70107170-7201.tif,9
news_article,data/raw_pdfs/0108_news_article.pdf,data/page1_pngs/0108_news_article.png,data/news_article/2083516458.tif,7
resume,data/raw_pdfs/0109_resume.pdf,data/page1_pngs/0109_resume.png,data/resume/60032720_60032721.tif,10
specification,data/raw_pdfs/0110_specification.pdf,data/page1_pngs/0110_specification.png,data/specification/2031322897.tif,6
scientific_report,data/raw_pdfs/0111_scientific_report.pdf,data/page1_pngs/0111_scientific_report.png,data/scientific_report/2056310252_2056310253.tif,3
questionnaire,data/raw_pdfs/0112_questionnaire.pdf,data/page1_pngs/0112_questionnaire.png,data/questionnaire/2049201624_2049201626.tif,6
specification,data/raw_pdfs/0113_specification.pdf,data/page1_pngs/0113_specification.png,data/specification/2069716724.tif,6
form,data/raw_pdfs/0114_form.pdf,data/page1_pngs/0114_form.png,data/form/2056598927.tif,3
questionnaire,data/raw_pdfs/0115_questionnaire.pdf,data/page1_pngs/0115_questionnaire.png,data/questionnaire/0000176568.tif,-1
invoice,data/raw_pdfs/0116_invoice.pdf,data/page1_pngs/0116_invoice.png,data/invoice/91515215.tif,6
resume,data/raw_pdfs/0117_resume.pdf,data/page1_pngs/0117_resume.png,data/resume/50522073-2074.tif,10
invoice,data/raw_pdfs/0118_invoice.pdf,data/page1_pngs/0118_invoice.png,data/invoice/10397131.tif,6
advertisement,data/raw_pdfs/0119_advertisement.pdf,data/page1_pngs/0119_advertisement.png,data/advertisement/506662972+-2973.tif,0
invoice,data/raw_pdfs/0120_invoice.pdf,data/page1_pngs/0120_invoice.png,data/invoice/83545356_5357.tif,6
scientific_publication,data/raw_pdfs/0121_scientific_publication.pdf,data/page1_pngs/0121_scientific_publication.png,data/scientific_publication/50612526-2533.tif,0
presentation,data/raw_pdfs/0122_presentation.pdf,data/page1_pngs/0122_presentation.png,data/presentation/2078647189_7192.tif,-1
memo,data/raw_pdfs/0123_memo.pdf,data/page1_pngs/0123_memo.png,data/memo/corti0013980_3981.tif,9
scientific_report,data/raw_pdfs/0124_scientific_report.pdf,data/page1_pngs/0124_scientific_report.png,data/scientific_report/2062180902.tif,3
scientific_publication,data/raw_pdfs/0125_scientific_publication.pdf,data/page1_pngs/0125_scientific_publication.png,data/scientific_publication/10420583_10420591.tif,-1
budget,data/raw_pdfs/0126_budget.pdf,data/page1_pngs/0126_budget.png,data/budget/2045467446.tif,6
news_article,data/raw_pdfs/0127_news_article.pdf,data/page1_pngs/0127_news_article.png,data/news_article/2501052350.tif,0
form,data/raw_pdfs/0128_form.pdf,data/page1_pngs/0128_form.png,data/form/2050797403.tif,-1
advertisement,data/raw_pdfs/0129_advertisement.pdf,data/page1_pngs/0129_advertisement.png,data/advertisement/502473298.tif,0
advertisement,data/raw_pdfs/0130_advertisement.pdf,data/page1_pngs/0130_advertisement.png,data/advertisement/tim01313.90.tif,0
budget,data/raw_pdfs/0131_budget.pdf,data/page1_pngs/0131_budget.png,data/budget/2049420559.tif,6
news_article,data/raw_pdfs/0132_news_article.pdf,data/page1_pngs/0132_news_article.png,data/news_article/2083514397.tif,0
handwritten,data/raw_pdfs/0133_handwritten.pdf,data/page1_pngs/0133_handwritten.png,data/handwritten/512205877.tif,1
form,data/raw_pdfs/0134_form.pdf,data/page1_pngs/0134_form.png,data/form/0060086270.tif,6
advertisement,data/raw_pdfs/0135_advertisement.pdf,data/page1_pngs/0135_advertisement.png,data/advertisement/71213766.tif,5
advertisement,data/raw_pdfs/0136_advertisement.pdf,data/page1_pngs/0136_advertisement.png,data/advertisement/tob01700.93.tif,0
specification,data/raw_pdfs/0137_specification.pdf,data/page1_pngs/0137_specification.png,data/specification/520016958+-6961.tif,6
handwritten,data/raw_pdfs/0138_handwritten.pdf,data/page1_pngs/0138_handwritten.png,data/handwritten/502404518_502404519.tif,1
invoice,data/raw_pdfs/0139_invoice.pdf,data/page1_pngs/0139_invoice.png,data/invoice/87699288.tif,7
memo,data/raw_pdfs/0140_memo.pdf,data/page1_pngs/0140_memo.png,data/memo/0060163511.tif,7
scientific_publication,data/raw_pdfs/0141_scientific_publication.pdf,data/page1_pngs/0141_scientific_publication.png,data/scientific_publication/2028382265_2271.tif,0
scientific_publication,data/raw_pdfs/0142_scientific_publication.pdf,data/page1_pngs/0142_scientific_publication.png,data/scientific_publication/2029152629.tif,-1
form,data/raw_pdfs/0143_form.pdf,data/page1_pngs/0143_form.png,data/form/2072938925.tif,7
form,data/raw_pdfs/0144_form.pdf,data/page1_pngs/0144_form.png,data/form/2065126045.tif,6
letter,data/raw_pdfs/0145_letter.pdf,data/page1_pngs/0145_letter.png,data/letter/0001452003.tif,-1
advertisement,data/raw_pdfs/0146_advertisement.pdf,data/page1_pngs/0146_advertisement.png,data/advertisement/1002325750.tif,10
letter,data/raw_pdfs/0147_letter.pdf,data/page1_pngs/0147_letter.png,data/letter/2501052412.tif,8
handwritten,data/raw_pdfs/0148_handwritten.pdf,data/page1_pngs/0148_handwritten.png,data/handwritten/518223712+-3713.tif,6
questionnaire,data/raw_pdfs/0149_questionnaire.pdf,data/page1_pngs/0149_questionnaire.png,data/questionnaire/1000364161.tif,6
form,data/raw_pdfs/0150_form.pdf,data/page1_pngs/0150_form.png,data/form/89773505.tif,3
invoice,data/raw_pdfs/0151_invoice.pdf,data/page1_pngs/0151_invoice.png,data/invoice/11240546.tif,6
specification,data/raw_pdfs/0152_specification.pdf,data/page1_pngs/0152_specification.png,data/specification/504560305.tif,7
budget,data/raw_pdfs/0153_budget.pdf,data/page1_pngs/0153_budget.png,data/budget/94005615_94005619.tif,3
email,data/raw_pdfs/0154_email.pdf,data/page1_pngs/0154_email.png,data/email/2078463823.tif,4
questionnaire,data/raw_pdfs/0155_questionnaire.pdf,data/page1_pngs/0155_questionnaire.png,data/questionnaire/524923698+-3723.tif,5
specification,data/raw_pdfs/0156_specification.pdf,data/page1_pngs/0156_specification.png,data/specification/506575693_506575702.tif,5
form,data/raw_pdfs/0157_form.pdf,data/page1_pngs/0157_form.png,data/form/2057986854.tif,6
file_folder,data/raw_pdfs/0158_file_folder.pdf,data/page1_pngs/0158_file_folder.png,data/file_folder/2079139588.tif,5
letter,data/raw_pdfs/0159_letter.pdf,data/page1_pngs/0159_letter.png,data/letter/2065030777.tif,4
resume,data/raw_pdfs/0160_resume.pdf,data/page1_pngs/0160_resume.png,data/resume/50384412-4412.tif,10
news_article,data/raw_pdfs/0161_news_article.pdf,data/page1_pngs/0161_news_article.png,data/news_article/tob11435.77.tif,0
form,data/raw_pdfs/0162_form.pdf,data/page1_pngs/0162_form.png,data/form/2030319617.tif,6
form,data/raw_pdfs/0163_form.pdf,data/page1_pngs/0163_form.png,data/form/512984629.tif,6
specification,data/raw_pdfs/0164_specification.pdf,data/page1_pngs/0164_specification.png,data/specification/2057468424.tif,-1
handwritten,data/raw_pdfs/0165_handwritten.pdf,data/page1_pngs/0165_handwritten.png,data/handwritten/515559595+-9596.tif,1
letter,data/raw_pdfs/0166_letter.pdf,data/page1_pngs/0166_letter.png,data/letter/517037775+-7775.tif,4
email,data/raw_pdfs/0167_email.pdf,data/page1_pngs/0167_email.png,data/email/531306131+-6131.tif,-1
form,data/raw_pdfs/0168_form.pdf,data/page1_pngs/0168_form.png,data/form/0012198651.tif,6
news_article,data/raw_pdfs/0169_news_article.pdf,data/page1_pngs/0169_news_article.png,data/news_article/2025029047.tif,0
handwritten,data/raw_pdfs/0170_handwritten.pdf,data/page1_pngs/0170_handwritten.png,data/handwritten/524653510+-3513.tif,6
memo,data/raw_pdfs/0171_memo.pdf,data/page1_pngs/0171_memo.png,data/memo/0011848575.tif,7
file_folder,data/raw_pdfs/0172_file_folder.pdf,data/page1_pngs/0172_file_folder.png,data/file_folder/87925379.tif,5
memo,data/raw_pdfs/0173_memo.pdf,data/page1_pngs/0173_memo.png,data/memo/91227374_7375.tif,-1
scientific_report,data/raw_pdfs/0174_scientific_report.pdf,data/page1_pngs/0174_scientific_report.png,data/scientific_report/2073096716_6717.tif,10
presentation,data/raw_pdfs/0175_presentation.pdf,data/page1_pngs/0175_presentation.png,data/presentation/2029014580_2029014612.tif,4
file_folder,data/raw_pdfs/0176_file_folder.pdf,data/page1_pngs/0176_file_folder.png,data/file_folder/2048857616.tif,-1
presentation,data/raw_pdfs/0177_presentation.pdf,data/page1_pngs/0177_presentation.png,data/presentation/2040242105_2040242116.tif,-1
memo,data/raw_pdfs/0178_memo.pdf,data/page1_pngs/0178_memo.png,data/memo/2046663115_3120.tif,9
presentation,data/raw_pdfs/0179_presentation.pdf,data/page1_pngs/0179_presentation.png,data/presentation/0000341209.tif,8
presentation,data/raw_pdfs/0180_presentation.pdf,data/page1_pngs/0180_presentation.png,data/presentation/2062522131_2132.tif,10
handwritten,data/raw_pdfs/0181_handwritten.pdf,data/page1_pngs/0181_handwritten.png,data/handwritten/522814157+-4160.tif,5
email,data/raw_pdfs/0182_email.pdf,data/page1_pngs/0182_email.png,data/email/527802740+-2751.tif,6
news_article,data/raw_pdfs/0183_news_article.pdf,data/page1_pngs/0183_news_article.png,data/news_article/2045994777.tif,0
email,data/raw_pdfs/0184_email.pdf,data/page1_pngs/0184_email.png,data/email/2078852791.tif,8
file_folder,data/raw_pdfs/0185_file_folder.pdf,data/page1_pngs/0185_file_folder.png,data/file_folder/2040773685.tif,5
letter,data/raw_pdfs/0186_letter.pdf,data/page1_pngs/0186_letter.png,data/letter/99401270.tif,4
email,data/raw_pdfs/0187_email.pdf,data/page1_pngs/0187_email.png,data/email/2085269167.tif,4
invoice,data/raw_pdfs/0188_invoice.pdf,data/page1_pngs/0188_invoice.png,data/invoice/2015016633.tif,-1
news_article,data/raw_pdfs/0189_news_article.pdf,data/page1_pngs/0189_news_article.png,data/news_article/2046117932.tif,0
presentation,data/raw_pdfs/0190_presentation.pdf,data/page1_pngs/0190_presentation.png,data/presentation/2077452544.tif,10
scientific_report,data/raw_pdfs/0191_scientific_report.pdf,data/page1_pngs/0191_scientific_report.png,data/scientific_report/2505236861.tif,-1
file_folder,data/raw_pdfs/0192_file_folder.pdf,data/page1_pngs/0192_file_folder.png,data/file_folder/2050643604.tif,5
specification,data/raw_pdfs/0193_specification.pdf,data/page1_pngs/0193_specification.png,data/specification/2057672927.tif,6
invoice,data/raw_pdfs/0194_invoice.pdf,data/page1_pngs/0194_invoice.png,data/invoice/2028729090.tif,-1
news_article,data/raw_pdfs/0195_news_article.pdf,data/page1_pngs/0195_news_article.png,data/news_article/0000023692.tif,0
budget,data/raw_pdfs/0196_budget.pdf,data/page1_pngs/0196_budget.png,data/budget/96343314_3317.tif,10
advertisement,data/raw_pdfs/0197_advertisement.pdf,data/page1_pngs/0197_advertisement.png,data/advertisement/501217932+-7933.tif,5
form,data/raw_pdfs/0198_form.pdf,data/page1_pngs/0198_form.png,data/form/2051123526.tif,3
advertisement,data/raw_pdfs/0199_advertisement.pdf,data/page1_pngs/0199_advertisement.png,data/advertisement/03555058.tif,2
handwritten,data/raw_pdfs/0200_handwritten.pdf,data/page1_pngs/0200_handwritten.png,data/handwritten/522659222+-9222.tif,1
questionnaire,data/raw_pdfs/0201_questionnaire.pdf,data/page1_pngs/0201_questionnaire.png,data/questionnaire/2042371701.tif,6
scientific_publication,data/raw_pdfs/0202_scientific_publication.pdf,data/page1_pngs/0202_scientific_publication.png,data/scientific_publication/50049688_50049691.tif,0
form,data/raw_pdfs/0203_form.pdf,data/page1_pngs/0203_form.png,data/form/2505272897.tif,3
resume,data/raw_pdfs/0204_resume.pdf,data/page1_pngs/0204_resume.png,data/resume/1005133608_1005133609.tif,8
presentation,data/raw_pdfs/0205_presentation.pdf,data/page1_pngs/0205_presentation.png,data/presentation/2501401172_2501401200.tif,7
questionnaire,data/raw_pdfs/0206_questionnaire.pdf,data/page1_pngs/0206_questionnaire.png,data/questionnaire/505534148_505534153.tif,6
letter,data/raw_pdfs/0207_letter.pdf,data/page1_pngs/0207_letter.png,data/letter/11008497.tif,4
questionnaire,data/raw_pdfs/0208_questionnaire.pdf,data/page1_pngs/0208_questionnaire.png,data/questionnaire/2042005464.tif,4
budget,data/raw_pdfs/0209_budget.pdf,data/page1_pngs/0209_budget.png,data/budget/2063687931_7932.tif,3
presentation,data/raw_pdfs/0210_presentation.pdf,data/page1_pngs/0210_presentation.png,data/presentation/2041144513_2041144577.tif,1
resume,data/raw_pdfs/0211_resume.pdf,data/page1_pngs/0211_resume.png,data/resume/2001210087.tif,4
handwritten,data/raw_pdfs/0212_handwritten.pdf,data/page1_pngs/0212_handwritten.png,data/handwritten/517617275+-7280.tif,5
news_article,data/raw_pdfs/0213_news_article.pdf,data/page1_pngs/0213_news_article.png,data/news_article/1003543208.tif,0
questionnaire,data/raw_pdfs/0214_questionnaire.pdf,data/page1_pngs/0214_questionnaire.png,data/questionnaire/0001245959.tif,6
advertisement,data/raw_pdfs/0215_advertisement.pdf,data/page1_pngs/0215_advertisement.png,data/advertisement/2070713899_3900.tif,0
presentation,data/raw_pdfs/0216_presentation.pdf,data/page1_pngs/0216_presentation.png,data/presentation/89093746_3749.tif,10
form,data/raw_pdfs/0217_form.pdf,data/page1_pngs/0217_form.png,data/form/2029156899.tif,4
email,data/raw_pdfs/0218_email.pdf,data/page1_pngs/0218_email.png,data/email/510782351+-2351.tif,10
news_article,data/raw_pdfs/0219_news_article.pdf,data/page1_pngs/0219_news_article.png,data/news_article/2025028579.tif,0
presentation,data/raw_pdfs/0220_presentation.pdf,data/page1_pngs/0220_presentation.png,data/presentation/2078247168_7231.tif,2
specification,data/raw_pdfs/0221_specification.pdf,data/page1_pngs/0221_specification.png,data/specification/512383793_512383802.tif,7
questionnaire,data/raw_pdfs/0222_questionnaire.pdf,data/page1_pngs/0222_questionnaire.png,data/questionnaire/2078520983.tif,10
scientific_publication,data/raw_pdfs/0223_scientific_publication.pdf,data/page1_pngs/0223_scientific_publication.png,data/scientific_publication/50210400-0406.tif,0
email,data/raw_pdfs/0224_email.pdf,data/page1_pngs/0224_email.png,data/email/529245489+-5491.tif,4
form,data/raw_pdfs/0225_form.pdf,data/page1_pngs/0225_form.png,data/form/2074650545.tif,6
advertisement,data/raw_pdfs/0226_advertisement.pdf,data/page1_pngs/0226_advertisement.png,data/advertisement/2064958874.tif,0
scientific_report,data/raw_pdfs/0227_scientific_report.pdf,data/page1_pngs/0227_scientific_report.png,data/scientific_report/2505149029.tif,6
scientific_publication,data/raw_pdfs/0228_scientific_publication.pdf,data/page1_pngs/0228_scientific_publication.png,data/scientific_publication/10343650_10343655.tif,0
